Instance,PartyOptimized,Strategy,MaxReps,TimeSec,Status,Models,ClingoReturnCode,RawOptValue
instance_027_m8n8k5_checkerboard.lp,1,default,4,300.012,CLINGO_TIMEOUT_INTERRUPT,3+,11,-4
instance_028_m10n8k5_random.lp,0,default,5,0.063,OPTIMUM_FOUND,3,30,-5
instance_028_m10n8k5_random.lp,1,default,4,300.013,CLINGO_TIMEOUT_INTERRUPT,3+,11,-4
instance_029_m10n8k5_clustered.lp,0,default,5,0.080,OPTIMUM_FOUND,2,30,-5
instance_029_m10n8k5_clustered.lp,1,default,4,300.013,CLINGO_TIMEOUT_INTERRUPT,3+,11,-4
instance_030_m10n8k5_checkerboard.lp,0,default,5,0.138,OPTIMUM_FOUND,4,30,-5
instance_030_m10n8k5_checkerboard.lp,1,default,4,300.006,CLINGO_TIMEOUT_INTERRUPT,3+,11,-4
instance_031_m10n10k6_random.lp,0,default,6,0.145,OPTIMUM_FOUND,2,30,-6
instance_031_m10n10k6_random.lp,1,default,5,300.012,CLINGO_TIMEOUT_INTERRUPT,5+,11,-5
instance_032_m10n10k6_clustered.lp,0,default,5,300.021,CLINGO_TIMEOUT_INTERRUPT,3+,11,-5
instance_032_m10n10k6_clustered.lp,1,default,6,0.605,OPTIMUM_FOUND,5,30,-6
instance_033_m10n10k6_checkerboard.lp,0,default,6,0.215,OPTIMUM_FOUND,2,30,-6
instance_033_m10n10k6_checkerboard.lp,1,default,5,300.020,CLINGO_TIMEOUT_INTERRUPT,3+,11,-5
instance_034_m4n3k2_clustered_extra0.lp,0,default,2,0.018,OPTIMUM_FOUND,1,30,-2
instance_034_m4n3k2_clustered_extra0.lp,1,default,1,0.012,OPTIMUM_FOUND,2,30,-1
instance_034_m5n4k3_clustered_extra0.lp,0,default,3,0.018,OPTIMUM_FOUND,2,30,-3
instance_034_m5n4k3_clustered_extra0.lp,1,default,2,1.312,OPTIMUM_FOUND,1,30,-2
instance_035_m10n8k5_clustered_extra1.lp,0,default,5,0.046,OPTIMUM_FOUND,1,30,-5
instance_035_m10n8k5_clustered_extra1.lp,1,default,4,300.025,CLINGO_TIMEOUT_INTERRUPT,3+,11,-4
instance_035_m7n6k4_random_extra1.lp,0,default,4,0.027,OPTIMUM_FOUND,1,30,-4
instance_035_m7n6k4_random_extra1.lp,1,default,3,300.018,CLINGO_TIMEOUT_INTERRUPT,1+,11,-3
instance_036_m5n4k3_clustered_extra2.lp,0,default,3,0.019,OPTIMUM_FOUND,2,30,-3
instance_036_m5n4k3_clustered_extra2.lp,1,default,2,1.674,OPTIMUM_FOUND,1,30,-2
instance_036_m5n5k3_clustered_extra2.lp,0,default,3,0.019,OPTIMUM_FOUND,2,30,-3
instance_036_m5n5k3_clustered_extra2.lp,1,default,2,11.033,OPTIMUM_FOUND,1,30,-2
instance_037_m10n8k5_random_extra3.lp,0,default,5,0.047,OPTIMUM_FOUND,3,30,-5
instance_037_m10n8k5_random_extra3.lp,1,default,4,300.014,CLINGO_TIMEOUT_INTERRUPT,3+,11,-4
instance_037_m4n4k3_clustered_extra3.lp,0,default,3,0.019,OPTIMUM_FOUND,3,30,-3
instance_037_m4n4k3_clustered_extra3.lp,1,default,2,0.014,OPTIMUM_FOUND,3,30,-2
instance_038_m6n5k4_checkerboard_extra4.lp,0,default,4,0.016,OPTIMUM_FOUND,2,30,-4
instance_038_m6n5k4_checkerboard_extra4.lp,1,default,3,300.014,CLINGO_TIMEOUT_INTERRUPT,1+,11,-3
instance_038_m8n8k5_checkerboard_extra4.lp,0,default,5,0.053,OPTIMUM_FOUND,2,30,-5
instance_038_m8n8k5_checkerboard_extra4.lp,1,default,4,300.013,CLINGO_TIMEOUT_INTERRUPT,3+,11,-4
instance_039_m3n3k2_checkerboard_extra5.lp,0,default,2,0.011,OPTIMUM_FOUND,2,30,-2
instance_039_m3n3k2_checkerboard_extra5.lp,1,default,1,0.010,OPTIMUM_FOUND,1,30,-1
instance_039_m6n5k4_checkerboard_extra5.lp,0,default,4,0.016,OPTIMUM_FOUND,2,30,-4
instance_039_m6n5k4_checkerboard_extra5.lp,1,default,3,300.013,CLINGO_TIMEOUT_INTERRUPT,1+,11,-3
instance_040_m3n3k2_clustered_extra6.lp,0,default,2,0.019,OPTIMUM_FOUND,1,30,-2
instance_040_m3n3k2_clustered_extra6.lp,1,default,1,0.011,OPTIMUM_FOUND,2,30,-1
instance_040_m4n3k2_random_extra6.lp,0,default,1,0.020,OPTIMUM_FOUND,1,30,-1
instance_040_m4n3k2_random_extra6.lp,1,default,2,0.012,OPTIMUM_FOUND,1,30,-2
instance_041_m5n4k3_random_extra7.lp,0,default,2,1.073,OPTIMUM_FOUND,3,30,-2
instance_041_m5n4k3_random_extra7.lp,1,default,3,0.012,OPTIMUM_FOUND,2,30,-3
instance_041_m8n8k5_checkerboard_extra7.lp,0,default,5,0.055,OPTIMUM_FOUND,2,30,-5
instance_041_m8n8k5_checkerboard_extra7.lp,1,default,4,300.016,CLINGO_TIMEOUT_INTERRUPT,3+,11,-4
instance_042_m4n3k2_random_extra8.lp,0,default,2,0.018,OPTIMUM_FOUND,2,30,-2
instance_042_m4n3k2_random_extra8.lp,1,default,1,0.010,OPTIMUM_FOUND,1,30,-1
instance_042_m8n8k5_random_extra8.lp,0,default,5,0.036,OPTIMUM_FOUND,2,30,-5
instance_042_m8n8k5_random_extra8.lp,1,default,4,300.010,CLINGO_TIMEOUT_INTERRUPT,3+,11,-4
instance_043_m10n10k6_random_extra9.lp,0,default,6,0.115,OPTIMUM_FOUND,1,30,-6
instance_043_m10n10k6_random_extra9.lp,1,default,5,300.017,CLINGO_TIMEOUT_INTERRUPT,4+,11,-5
instance_043_m10n8k5_clustered_extra9.lp,0,default,5,0.077,OPTIMUM_FOUND,3,30,-5
instance_043_m10n8k5_clustered_extra9.lp,1,default,4,300.007,CLINGO_TIMEOUT_INTERRUPT,2+,11,-4
instance_044_m4n4k3_checkerboard_extra10.lp,0,default,3,0.015,OPTIMUM_FOUND,2,30,-3
instance_044_m4n4k3_checkerboard_extra10.lp,1,default,2,0.245,OPTIMUM_FOUND,1,30,-2
instance_044_m4n4k3_random_extra10.lp,0,default,2,0.102,OPTIMUM_FOUND,1,30,-2
instance_044_m4n4k3_random_extra10.lp,1,default,3,0.011,OPTIMUM_FOUND,2,30,-3
instance_045_m10n10k6_random_extra11.lp,0,default,6,0.237,OPTIMUM_FOUND,3,30,-6
instance_045_m10n10k6_random_extra11.lp,1,default,5,300.028,CLINGO_TIMEOUT_INTERRUPT,3+,11,-5
instance_045_m5n5k3_random_extra11.lp,0,default,2,20.523,OPTIMUM_FOUND,2,30,-2
instance_045_m5n5k3_random_extra11.lp,1,default,3,0.014,OPTIMUM_FOUND,3,30,-3
instance_046_m5n5k3_checkerboard_extra12.lp,0,default,3,0.013,OPTIMUM_FOUND,2,30,-3
instance_046_m5n5k3_checkerboard_extra12.lp,1,default,2,44.957,OPTIMUM_FOUND,1,30,-2
instance_046_m8n8k5_checkerboard_extra12.lp,0,default,5,0.051,OPTIMUM_FOUND,2,30,-5
instance_046_m8n8k5_checkerboard_extra12.lp,1,default,4,300.023,CLINGO_TIMEOUT_INTERRUPT,3+,11,-4
instance_047_m5n4k3_checkerboard_extra13.lp,0,default,3,0.013,OPTIMUM_FOUND,2,30,-3
instance_047_m5n4k3_checkerboard_extra13.lp,1,default,2,2.556,OPTIMUM_FOUND,1,30,-2
instance_047_m5n5k3_random_extra13.lp,0,default,2,51.327,OPTIMUM_FOUND,2,30,-2
instance_047_m5n5k3_random_extra13.lp,1,default,2,40.799,OPTIMUM_FOUND,2,30,-2
instance_048_m3n3k2_random_extra14.lp,0,default,2,0.019,OPTIMUM_FOUND,1,30,-2
instance_048_m3n3k2_random_extra14.lp,1,default,1,0.009,OPTIMUM_FOUND,2,30,-1
instance_049_m10n10k6_clustered_extra15.lp,0,default,6,0.336,OPTIMUM_FOUND,6,30,-6
instance_049_m10n10k6_clustered_extra15.lp,1,default,5,300.027,CLINGO_TIMEOUT_INTERRUPT,2+,11,-5
instance_049_m8n8k5_checkerboard_extra15.lp,0,default,5,0.051,OPTIMUM_FOUND,2,30,-5
instance_049_m8n8k5_checkerboard_extra15.lp,1,default,4,300.021,CLINGO_TIMEOUT_INTERRUPT,3+,11,-4
instance_050_m3n3k2_random_extra16.lp,0,default,1,0.017,OPTIMUM_FOUND,1,30,-1
instance_050_m3n3k2_random_extra16.lp,1,default,2,0.010,OPTIMUM_FOUND,2,30,-2
instance_050_m6n5k4_checkerboard_extra16.lp,0,default,4,0.017,OPTIMUM_FOUND,2,30,-4
instance_050_m6n5k4_checkerboard_extra16.lp,1,default,3,300.026,CLINGO_TIMEOUT_INTERRUPT,1+,11,-3
instance_051_m4n3k2_checkerboard_extra17.lp,0,default,2,0.012,OPTIMUM_FOUND,2,30,-2
instance_051_m4n3k2_checkerboard_extra17.lp,1,default,1,0.013,OPTIMUM_FOUND,1,30,-1
instance_051_m5n4k3_random_extra17.lp,0,default,3,0.018,OPTIMUM_FOUND,2,30,-3
instance_051_m5n4k3_random_extra17.lp,1,default,2,0.012,OPTIMUM_FOUND,1,30,-2
instance_052_m10n10k6_random_extra18.lp,0,default,6,0.118,OPTIMUM_FOUND,4,30,-6
instance_052_m10n10k6_random_extra18.lp,1,default,5,300.027,CLINGO_TIMEOUT_INTERRUPT,4+,11,-5
instance_052_m4n4k3_random_extra18.lp,0,default,3,0.018,OPTIMUM_FOUND,3,30,-3
instance_052_m4n4k3_random_extra18.lp,1,default,2,0.058,OPTIMUM_FOUND,1,30,-2
instance_053_m6n5k4_checkerboard_extra19.lp,0,default,4,0.017,OPTIMUM_FOUND,2,30,-4
instance_055_m8n8k5_random_extra21.lp,0,default,4,300.033,CLINGO_TIMEOUT_INTERRUPT,4+,11,-4
instance_055_m8n8k5_random_extra21.lp,1,default,5,0.045,OPTIMUM_FOUND,4,30,-5
instance_056_m3n3k2_clustered_extra22.lp,0,default,1,0.017,OPTIMUM_FOUND,1,30,-1
instance_056_m3n3k2_clustered_extra22.lp,1,default,1,0.011,OPTIMUM_FOUND,1,30,-1
instance_056_m4n4k3_clustered_extra22.lp,0,default,3,0.019,OPTIMUM_FOUND,2,30,-3
instance_056_m4n4k3_clustered_extra22.lp,1,default,2,0.182,OPTIMUM_FOUND,1,30,-2
instance_057_m4n4k3_random_extra23.lp,0,default,3,0.017,OPTIMUM_FOUND,2,30,-3
instance_057_m4n4k3_random_extra23.lp,1,default,2,0.012,OPTIMUM_FOUND,1,30,-2
instance_057_m5n4k3_checkerboard_extra23.lp,0,default,3,0.012,OPTIMUM_FOUND,2,30,-3
instance_057_m5n4k3_checkerboard_extra23.lp,1,default,2,2.539,OPTIMUM_FOUND,1,30,-2
instance_058_m10n10k6_random_extra24.lp,0,default,5,300.029,CLINGO_TIMEOUT_INTERRUPT,3+,11,-5
instance_058_m10n10k6_random_extra24.lp,1,default,5,300.030,CLINGO_TIMEOUT_INTERRUPT,3+,11,-5
instance_058_m8n8k5_clustered_extra24.lp,0,default,5,0.111,OPTIMUM_FOUND,2,30,-5
instance_058_m8n8k5_clustered_extra24.lp,1,default,4,300.015,CLINGO_TIMEOUT_INTERRUPT,4+,11,-4
instance_059_m4n3k2_clustered_extra25.lp,0,default,2,0.018,OPTIMUM_FOUND,1,30,-2
instance_059_m4n3k2_clustered_extra25.lp,1,default,1,0.011,OPTIMUM_FOUND,1,30,-1
